blh,valid_time,d2m,latitude,longitude,sp,sshf,ssrd,strd,t2m,tcc,tp,u10,v10
29.95361328,2016/1/15 18:00,270.99249267578125,31.1922,121.4317,102040.1797,19926.6875,3351.75,851277.0625,277.2358703613281,0,0,0.2800729274749756,0.2730954587459564
27.865966796875,2016/1/15 19:00,272.33428955078125,31.1922,121.4317,102030.3047,24181.75,0,845836.625,277.6368408203125,0,9.313225746154785E-10,0.11829519271850586,0.8888460397720337
20.09960938,2016/1/15 20:00,272.7835998535156,31.1922,121.4317,102101.8906,17320.75,0,842108.375,277.6620178222656,0,0,-0.123402119,0.6674032807350159
15.661376953125,2016/1/15 21:00,273.5709533691406,31.1922,121.4317,102086.2344,13142.5625,0,841628,278.2669982910156,0,0,-0.574222088,0.5356922745704651
15.205322265625,2016/1/15 22:00,274.1698303222656,31.1922,121.4317,102074.2266,11048.8125,-0.125,840783.875,277.53363037109375,0,0,-0.954030752,0.27362143993377686
16.247802734375,2016/1/15 23:00,274.16693115234375,31.1922,121.4317,102093.75,8564.6875,0,838737.375,277.2357177734375,0,0,-1.276864767,-0.243807018
20.16015625,2016/1/16 0:00,274.4492188,31.1922,121.4317,102083.875,11116.8125,0,832499.3125,276.9865417480469,0,0,-1.726190925,0.15584397315979004
27.518310546875,2016/1/16 1:00,274.067626953125,31.1922,121.4317,102072.3672,11983.6875,-0.25,829507.5625,275.7765197753906,0,0,-2.028838634,0.9342966079711914
31.118896484375,2016/1/16 2:00,273.5802001953125,31.1922,121.4317,102116.6875,13288.375,-0.25,831104.875,275.0617370605469,0,-1.86E-09,-2.02839613,1.2517396211624146
24.25830078,2016/1/16 3:00,273.4718322753906,31.1922,121.4317,102116.0625,15540,0,839124.8125,275.0762023925781,0,-9.31E-10,-1.796164036,0.8532984256744385
25.86328125,2016/1/16 4:00,273.3299560546875,31.1922,121.4317,102129.4141,13786.1875,0,843609.5625,274.4858703613281,0,0,-2.024492979,0.5771875381469727
31.990478515625,2016/1/16 5:00,272.9039306640625,31.1922,121.4317,102113.375,15696.78125,0,847696.25,274.1690979003906,0,0,-2.368579149,0.6616135835647583
25.30859375,2016/1/16 6:00,273.6526184082031,31.1922,121.4317,102200.6172,21471.625,0,848142.375,275.1936950683594,0,0,-2.043872118,0.5290915966033936
41.44677734,2016/1/16 7:00,273.7636413574219,31.1922,121.4317,102154.8438,34077.28125,243.625,849659.875,275.5118713378906,0.006256401538848877,0,-2.653332949,0.563713014125824
66.19140625,2016/1/16 8:00,274.95013427734375,31.1922,121.4317,102217.4766,30489.96875,255050.875,856722.1875,276.9250183105469,0,0,-2.040834427,0.52066969871521
